x_over_width,top_y_over_width,underside_y_over_width,observed_not_interpolated
-0.5,0.008063801332435214,-0.008064551498810631,1
-0.4983948635634029,0.019601738703582776,-0.008064551498810631,1
-0.4967897271268058,0.019792577464563896,-0.020623723994041287,1
-0.49518459069020865,0.024764670446624434,-0.02202663664008664,1
-0.49357945425361155,0.026549260614632027,-0.026807890861166056,1
-0.49197431781701445,0.028333850782639624,-0.029804554914237866,1
-0.49036918138041735,0.03509053393270778,-0.03420413161335504,1
-0.4887640449438202,0.036875124100715376,-0.03439497037433616,1
-0.4871589085072231,0.038659714268722965,-0.035797883020381505,1
-0.485553772070626,0.04203805584375701,-0.0403882984804798,1
-0.4839486356340289,0.0438226460117646,-0.04338496253355162,1
-0.4823434991974318,0.04898557775480629,-0.04778453923266878,1
-0.48073836276083465,0.049176416515787406,-0.04778453923266878,1
-0.47913322632423755,0.050961006683795,-0.04778453923266878,1
-0.47752808988764045,0.0527455968518026,-0.0507812032857406,1
-0.47592295345104335,0.05612393842683666,-0.05218411593178596,1
-0.47431781701444625,0.056314777187817786,-0.05518077998485778,1
-0.4727126805778491,0.0580993673558254,-0.0581774440379296,1
-0.471107544141252,0.06166854769184059,-0.06098326933002029,1
-0.4695024077046549,0.06185938645282169,-0.061174108091001426,1
-0.4678972712680578,0.06364397662082928,-0.06257702073704677,1
-0.46629213483146065,0.06383481538181043,-0.06557368479011859,1
-0.46468699839486355,0.06402565414279153,-0.06697659743616394,1
-0.46308186195826645,0.06740399571782561,-0.06997326148923576,1
-0.46147672552166935,0.06759483447880674,-0.07277908678132645,1
-0.45987158908507225,0.06937942464681433,-0.07296992554230758,1
-0.4582664526484751,0.06957026340779546,-0.07437283818835293,1
-0.456661316211878,0.06976110216877658,-0.07736950224142475,1
-0.4550561797752809,0.07154569233678416,-0.0787724148874701,1
-0.4534510433386838,0.07333028250479179,-0.08017532753351544,1
-0.4518459069020867,0.07352112126577288,-0.08317199158658727,1
-0.45024077046548955,0.07371196002675402,-0.08457490423263261,1
-0.44863563402889245,0.07568738895574273,-0.08578697811769685,1
-0.44703049759229535,0.07587822771672384,-0.08597781687867798,1
-0.44542536115569825,0.07625990523868609,-0.0889744809317498,1
-0.4438202247191011,0.07766281788473146,-0.09197114498482159,1
-0.442215088282504,0.07963824681372016,-0.09337405763086694,1
-0.4406099518459069,0.07982908557470128,-0.09477697027691229,1
-0.4390048154093098,0.08001992433568239,-0.09617988292295765,1
-0.4373996789727127,0.08021076309666351,-0.097582795569003,1
-0.43579454253611555,0.08040160185764464,-0.09879486945406722,1
-0.43418940609951845,0.08059244061862576,-0.09898570821504835,1
-0.43258426966292135,0.08237703078663337,-0.10179153350713904,1
-0.43097913322632425,0.08256786954761453,-0.10198237226812017,1
-0.42937399678972715,0.08435245971562207,-0.10319444615318439,1
-0.42776886035313,0.08454329847660322,-0.1060002714452751,1
-0.4261637239165329,0.08473413723758434,-0.10619111020625623,1
-0.4245585874799358,0.08651872740559195,-0.1088060967373658,1
-0.4229534510433387,0.08670956616657308,-0.1089969354983469,1
-0.42134831460674155,0.0869004049275542,-0.11161192202945648,1
-0.41974317817014445,0.08709124368853532,-0.1118027607904376,1
-0.41813804173354735,0.08728208244951645,-0.11479942484350943,1
-0.41653290529695025,0.08906667261752402,-0.11779608889658125,1
-0.41492776886035315,0.08925751137850514,-0.1191990015426266,1
-0.413322632423756,0.08944835013948628,-0.12060191418867194,1
-0.4117174959871589,0.09142377906847501,-0.12200482683471729,1
-0.4101123595505618,0.09161461782945612,-0.12340773948076265,1
-0.4085072231139647,0.09180545659043726,-0.124810652126808,1
-0.4069020866773676,0.09359004675844483,-0.12640440353383445,1
-0.40529695024077045,0.09378088551942595,-0.1276164774188987,1
-0.40369181380417335,0.09397172428040708,-0.1278073161798798,1
-0.40208667736757625,0.0941625630413882,-0.12901939006494403,1
-0.40048154093097915,0.09435340180236931,-0.13042230271098937,1
